,authId,eccs,papers,pianyiliang,Hindex
4814,'auId': 1203916107,2,1,2,1
1520,'auId': 1204061966,702,12,58.5,9
393,'auId': 1204403786,1,1,1,1
4661,'auId': 120466312,89,1,89,1
1717,'auId': 1206150731,3,1,3,1
203,'auId': 120651226,35,3,11.67,3
3336,'auId': 1206765324,5,1,5,1
4418,'auId': 1208078881,0,1,0,0
5529,'auId': 1208147595,174,1,174,1
2626,'auId': 1209087724,20,1,20,1
839,'auId': 1209712894,3,1,3,1
4673,'auId': 1209908214,65,1,65,1
4216,'auId': 1210094325,2,1,2,1
5787,'auId': 1210906483,9,1,9,1
1134,'auId': 1210982501,18,1,18,1
1915,'auId': 121178333,15,1,15,1
874,'auId': 1215165747,8,1,8,1
1650,'auId': 1216680055,5,1,5,1
145,'auId': 121890299,16,1,16,1
1061,'auId': 1219262247,68,1,68,1
394,'auId': 1221811721,68,1,68,1
4785,'auId': 1221972788,2,1,2,1
5072,'auId': 122283408,92,1,92,1
5224,'auId': 1224330914,8,1,8,1
631,'auId': 1226131238,67,1,67,1
1983,'auId': 1229805414,14,1,14,1
3079,'auId': 123077628,29,1,29,1
3329,'auId': 1232115794,6,1,6,1
3745,'auId': 1232188673,14,2,7,1
5151,'auId': 1232485766,15,4,3.75,2
5323,'auId': 1235527630,78,1,78,1
5154,'auId': 1236119712,111,1,111,1
4054,'auId': 1237165886,20,1,20,1
4615,'auId': 1238042821,2,1,2,1
189,'auId': 1238373771,28,1,28,1
5326,'auId': 1242318402,7,1,7,1
2689,'auId': 1243971699,148,4,37,4
4807,'auId': 1244112658,1,1,1,1
1362,'auId': 1244316486,12,1,12,1
2934,'auId': 1245674437,5,1,5,1
4708,'auId': 1248235887,18,5,3.6,2
2232,'auId': 1248398100,162,1,162,1
1973,'auId': 12494109,253,2,126.5,2
5412,'auId': 1253426111,13,5,2.6,2
3579,'auId': 125590419,11,2,5.5,2
3320,'auId': 1256560114,21,3,7,2
449,'auId': 1258141275,96,1,96,1
4436,'auId': 1260071711,28,1,28,1
1124,'auId': 1261192326,268,3,89.33,3
1385,'auId': 1261990027,11,1,11,1
3559,'auId': 1262135359,87,3,29,3
4635,'auId': 1264090651,30,1,30,1
2688,'auId': 126419691,169,1,169,1
1083,'auId': 1266997330,644,1,644,1
3630,'auId': 1268063115,22,2,11,2
4414,'auId': 1268677781,44,7,6.29,3
3214,'auId': 1269826703,259,2,129.5,2
4224,'auId': 127037394,13,1,13,1
1876,'auId': 1270630360,1,1,1,1
1909,'auId': 1272400704,14,1,14,1
2770,'auId': 1273491846,70,1,70,1
2693,'auId': 1273907201,5,1,5,1
1546,'auId': 127847919,9,1,9,1
4733,'auId': 1278761251,2,1,2,1
3732,'auId': 1281014425,10,2,5,2
3562,'auId': 1281575332,59,5,11.8,4
1936,'auId': 1294330762,1088,11,98.91,8
3643,'auId': 129592405,5,1,5,1
3104,'auId': 130200899,493,3,164.33,3
5547,'auId': 130468041,553,5,110.6,5
1531,'auId': 130579581,5,1,5,1
3960,'auId': 131065259,221,10,22.1,7
4427,'auId': 131199769,91,4,22.75,4
5814,'auId': 1313188078,17,2,8.5,2
4509,'auId': 131539021,168,5,33.6,4
278,'auId': 131925691,2,1,2,1
1025,'auId': 132755437,0,1,0,0
2760,'auId': 133767967,35,4,8.75,2
2063,'auId': 134133163,11,3,3.67,2
523,'auId': 134769616,348,5,69.6,5
2469,'auId': 1354405940,22,2,11,2
3067,'auId': 1354816936,4467,29,154.03,15
1907,'auId': 1355609125,11,1,11,1
3396,'auId': 135586550,29,1,29,1
4229,'auId': 136708976,12,1,12,1
2254,'auId': 1367283633,8,1,8,1
3785,'auId': 137482177,4,1,4,1
3430,'auId': 1375400056,148,3,49.33,2
1410,'auId': 1377371771,72,2,36,2
1333,'auId': 1389458012,27,2,13.5,2
5452,'auId': 140567717,78,1,78,1
1373,'auId': 140604920,78,11,7.09,6
472,'auId': 1414387802,713,5,142.6,4
4104,'auId': 141645569,131,2,65.5,2
5141,'auId': 142115447,75,2,37.5,2
183,'auId': 1423360909,17,2,8.5,2
3710,'auId': 1431255435,30,1,30,1
4907,'auId': 1432492132,12,1,12,1
2755,'auId': 1436807182,20,1,20,1
2672,'auId': 1436821675,187,3,62.33,3
842,'auId': 144055362,357,6,59.5,6
4143,'auId': 1441127842,18,2,9,2
4118,'auId': 144443881,120,1,120,1
4395,'auId': 1446033523,263,1,263,1
2330,'auId': 1448039523,12,1,12,1
5795,'auId': 1448242549,107,2,53.5,2
245,'auId': 1449471280,1,1,1,1
1412,'auId': 1455579439,8,1,8,1
3373,'auId': 145951267,0,1,0,0
3032,'auId': 1460465686,106,4,26.5,4
2761,'auId': 146166490,15,1,15,1
1578,'auId': 1464790619,479,7,68.43,4
1947,'auId': 1468389938,11,1,11,1
1039,'auId': 146839028,54,9,6,5
3106,'auId': 147863044,11,1,11,1
2774,'auId': 1478997493,4,1,4,1
577,'auId': 148301988,6,1,6,1
4771,'auId': 1483583928,176,5,35.2,4
2068,'auId': 14841688,145,1,145,1
272,'auId': 1484279603,1374,11,124.91,11
5067,'auId': 1485286286,82,2,41,2
5395,'auId': 148844932,2,1,2,1
2499,'auId': 1494732594,8,1,8,1
5204,'auId': 149531881,12,1,12,1
4848,'auId': 1495453162,28,1,28,1
780,'auId': 1498687691,226,1,226,1
5164,'auId': 1504186000,197,9,21.89,5
4832,'auId': 1507883122,123,1,123,1
4612,'auId': 1512084719,1,1,1,1
4130,'auId': 1514991730,1,1,1,1
4454,'auId': 1515167117,400,5,80,5
3657,'auId': 1516750943,541,2,270.5,2
787,'auId': 1517651870,23,4,5.75,3
391,'auId': 1517850380,20,1,20,1
4666,'auId': 1518321175,124,2,62,2
1945,'auId': 1519336086,7,1,7,1
3945,'auId': 152453120,104,2,52,1
4050,'auId': 1524993977,10,1,10,1
4605,'auId': 1525092772,12,2,6,1
1938,'auId': 15257127,21,2,10.5,2
222,'auId': 1527452033,2,1,2,1
2586,'auId': 152887991,4,1,4,1
3653,'auId': 152899538,163,1,163,1
3690,'auId': 1531155176,1697,20,84.85,14
618,'auId': 1533467025,22,1,22,1
557,'auId': 1533552536,8,1,8,1
5333,'auId': 1535162499,303,2,151.5,2
1771,'auId': 1537048691,16,1,16,1
2501,'auId': 1539679250,0,1,0,0
2989,'auId': 1539996673,75,1,75,1
3009,'auId': 1541412656,15,2,7.5,2
4373,'auId': 1543458841,7,1,7,1
2359,'auId': 154584437,9,1,9,1
5423,'auId': 1547395759,1,1,1,1
649,'auId': 1549069270,174,12,14.5,7
5128,'auId': 154923768,18,2,9,2
126,'auId': 155174508,257,3,85.67,2
1292,'auId': 1551887306,123,2,61.5,2
5786,'auId': 155193417,525,1,525,1
1673,'auId': 1551969330,12,1,12,1
5543,'auId': 155323825,30,2,15,2
329,'auId': 1559204946,348,3,116,3
3808,'auId': 1560940643,12,1,12,1
2764,'auId': 1563078655,16,2,8,1
2121,'auId': 156318388,147,2,73.5,2
2533,'auId': 156417696,1886,7,269.43,7
5177,'auId': 1566711909,12,2,6,2
698,'auId': 1568007574,198,1,198,1
5612,'auId': 156875573,576,2,288,1
4576,'auId': 1569549514,62,1,62,1
733,'auId': 1569968817,31,2,15.5,2
3088,'auId': 157052978,79,1,79,1
2678,'auId': 1572478601,248,2,124,2
2654,'auId': 157472243,4,1,4,1
891,'auId': 1576801125,54,3,18,3
2144,'auId': 1577386936,13,1,13,1
42,'auId': 157741918,34,5,6.8,2
4,'auId': 15795219,463,1,463,1
1493,'auId': 158011298,96,2,48,2
2787,'auId': 1580821723,87,3,29,3
25,'auId': 158112295,233,1,233,1
2950,'auId': 158112612,1009,20,50.45,12
5676,'auId': 158251750,302,1,302,1
5520,'auId': 1586316923,3,1,3,1
4784,'auId': 158754124,21,1,21,1
958,'auId': 1588429516,4,1,4,1
2512,'auId': 1589095292,6,1,6,1
5784,'auId': 159086798,15,1,15,1
2978,'auId': 1596033415,11,1,11,1
5534,'auId': 160031478,113,5,22.6,4
2500,'auId': 1600468001,7,1,7,1
3800,'auId': 1601277938,19,3,6.33,2
3971,'auId': 1601750093,101,1,101,1
1336,'auId': 1602472793,10,2,5,2
2530,'auId': 1603383808,895,6,149.17,5
41,'auId': 160737525,36,4,9,2
2738,'auId': 161269817,6623,36,183.97,25
4262,'auId': 161688195,2,1,2,1
1699,'auId': 1617862073,366,3,122,3
3911,'auId': 1620943014,38,3,12.67,2
5070,'auId': 162253719,316,8,39.5,6
2832,'auId': 1624046946,341,21,16.24,9
379,'auId': 1624679253,147,5,29.4,3
1820,'auId': 1628533104,15,2,7.5,2
1354,'auId': 1629087880,28,2,14,2
1853,'auId': 1645665820,0,1,0,0
2445,'auId': 165130721,21,1,21,1
4017,'auId': 1652692222,5,1,5,1
3078,'auId': 1653413308,109,4,27.25,3
4360,'auId': 1653753694,28,2,14,2
4355,'auId': 1656275121,157,2,78.5,2
5258,'auId': 1662305855,13,1,13,1
1940,'auId': 166615085,11,1,11,1
1105,'auId': 16705875,29,3,9.67,2
4589,'auId': 167087310,218,9,24.22,6
4846,'auId': 1674748237,71,1,71,1
4504,'auId': 167589996,918,15,61.2,10
1662,'auId': 1676670120,56,1,56,1
1004,'auId': 1679353438,22,1,22,1
2566,'auId': 1681405076,32,4,8,3
4133,'auId': 168172700,995,12,82.92,11
4627,'auId': 1685235157,2,1,2,1
3162,'auId': 1685303267,98,1,98,1
5512,'auId': 169043389,5,1,5,1
2541,'auId': 169445216,5,2,2.5,2
3794,'auId': 1695280883,13,3,4.33,2
871,'auId': 169598168,61,2,30.5,1
714,'auId': 1696837840,17,1,17,1
1367,'auId': 1699311759,209,1,209,1
4767,'auId': 1700852547,145,1,145,1
1188,'auId': 170342584,3,1,3,1
1149,'auId': 1707479817,4,2,2,1
235,'auId': 1711387823,81,1,81,1
3890,'auId': 171829575,84,1,84,1
3986,'auId': 1720948503,61,1,61,1
781,'auId': 1725132105,72,1,72,1
5800,'auId': 172536002,1144,8,143,8
4059,'auId': 172820374,10,1,10,1
436,'auId': 1728963057,40,1,40,1
2065,'auId': 1735999048,24,4,6,3
2363,'auId': 1738588212,11,1,11,1
423,'auId': 1739366739,85,1,85,1
1615,'auId': 1739850404,24,1,24,1
4487,'auId': 174164245,14,2,7,1
102,'auId': 1748740921,391,3,130.33,3
4231,'auId': 175204660,720,8,90,7
2249,'auId': 175255044,37,1,37,1
5363,'auId': 175540777,6,1,6,1
4084,'auId': 175821849,22,2,11,2
5027,'auId': 17594925,569,5,113.8,5
3512,'auId': 1762067003,3,1,3,1
3575,'auId': 1762337056,89,3,29.67,3
2641,'auId': 1763364542,4,1,4,1
4970,'auId': 1764079222,7,1,7,1
3584,'auId': 1764448532,319,4,79.75,4
708,'auId': 1769445404,89,1,89,1
2706,'auId': 1770146309,14,2,7,1
5727,'auId': 1770329841,77,6,12.83,5
1246,'auId': 177152004,8,2,4,1
1868,'auId': 177256623,355,1,355,1
3705,'auId': 1773006169,14,1,14,1
1016,'auId': 1773024579,35,5,7,3
33,'auId': 177472547,8,1,8,1
4557,'auId': 1778624794,20,1,20,1
318,'auId': 1782944713,403,3,134.33,3
3293,'auId': 1783969135,64,1,64,1
108,'auId': 178451354,5,1,5,1
3242,'auId': 1787948953,109,1,109,1
2488,'auId': 178820073,6,1,6,1
5159,'auId': 1790228063,6,1,6,1
5518,'auId': 1792724507,24,2,12,2
764,'auId': 1794038515,5,2,2.5,1
4369,'auId': 179778838,30,1,30,1
1267,'auId': 1798593165,298,2,149,1
213,'auId': 1799886526,115,1,115,1
4201,'auId': 1800007723,7,2,3.5,1
5810,'auId': 1800868064,159,2,79.5,2
4212,'auId': 180556512,144,3,48,3
4420,'auId': 1808124004,14,1,14,1
480,'auId': 1809196549,653,4,163.25,4
5288,'auId': 1809247296,147,5,29.4,5
667,'auId': 1812361008,28,2,14,2
2168,'auId': 1812487863,6,2,3,2
686,'auId': 181270745,452,7,64.57,6
2310,'auId': 1814273096,1,1,1,1
1256,'auId': 1817936516,964,18,53.56,11
227,'auId': 181808162,23,1,23,1
920,'auId': 1820757292,333,2,166.5,2
4048,'auId': 1821570238,17,2,8.5,2
302,'auId': 1822555116,746,3,248.67,3
316,'auId': 1823670074,10,1,10,1
4346,'auId': 1825750335,30,2,15,2
4837,'auId': 1828064762,17,1,17,1
3867,'auId': 1828613558,51,1,51,1
964,'auId': 1828928408,44,2,22,2
4053,'auId': 183004243,62,2,31,2
368,'auId': 18301080,22,2,11,2
1374,'auId': 1830374589,5,1,5,1
4167,'auId': 183130702,8,1,8,1
3537,'auId': 1833070455,0,1,0,0
5683,'auId': 1834321408,10,1,10,1
4854,'auId': 1835498038,112,2,56,2
4461,'auId': 1835833577,120,7,17.14,3
1148,'auId': 1836122741,17,2,8.5,2
4537,'auId': 1836306758,12,1,12,1
4891,'auId': 183722240,54,3,18,3
3613,'auId': 1838844815,12,3,4,3
4511,'auId': 1839245946,7,2,3.5,1
3822,'auId': 1843466435,30,2,15,2
2008,'auId': 184409032,51,2,25.5,2
4597,'auId': 1849627065,773,16,48.31,8
2956,'auId': 1851096771,28,1,28,1
26,'auId': 1854578800,2,1,2,1
2370,'auId': 1854879174,1,1,1,1
5755,'auId': 1856923607,3,1,3,1
582,'auId': 1858955830,297,5,59.4,4
2460,'auId': 185908671,88,1,88,1
3619,'auId': 1859473462,3,1,3,1
747,'auId': 1860143084,62,1,62,1
3095,'auId': 1861790702,237,3,79,3
1405,'auId': 1862713388,7,1,7,1
3530,'auId': 1863105712,1,1,1,1
2477,'auId': 186358126,13,1,13,1
286,'auId': 1863745402,3,1,3,1
3740,'auId': 1864797987,0,1,0,0
3641,'auId': 1865837631,17,1,17,1
1502,'auId': 187031812,3,1,3,1
1956,'auId': 1876642115,3,1,3,1
1232,'auId': 1877127837,55,1,55,1
4186,'auId': 1878605721,111,1,111,1
2931,'auId': 1878631932,742,3,247.33,3
161,'auId': 1879209115,3,1,3,1
5387,'auId': 1882685065,1,1,1,1
706,'auId': 188323092,132,9,14.67,6
2727,'auId': 18839523,82,2,41,2
433,'auId': 1885787361,17,1,17,1
2294,'auId': 1886095867,73,2,36.5,2
1274,'auId': 1887389880,91,2,45.5,2
1371,'auId': 1887673601,3,1,3,1
1742,'auId': 188821499,0,1,0,0
5555,'auId': 188846135,95,2,47.5,2
1227,'auId': 1889443150,6,1,6,1
2562,'auId': 1889475642,6,1,6,1
1535,'auId': 1891115510,17,2,8.5,2
3458,'auId': 1892133842,110,1,110,1
670,'auId': 1892898320,1,1,1,1
935,'auId': 1893736562,54,1,54,1
1874,'auId': 1895089384,3,1,3,1
3191,'auId': 18953175,430,11,39.09,9
2235,'auId': 1895792819,0,1,0,0
5274,'auId': 1895801446,122,2,61,2
4799,'auId': 1895868705,69,4,17.25,3
2087,'auId': 1896749971,20,2,10,2
5782,'auId': 1897691719,50,6,8.33,5
5078,'auId': 1898836778,189,13,14.54,7
315,'auId': 1899725313,68,1,68,1
1612,'auId': 190129045,5,1,5,1
1762,'auId': 1901668843,14,2,7,2
5767,'auId': 1902127369,18,3,6,3
1216,'auId': 1903400914,0,1,0,0
273,'auId': 1903937220,7,1,7,1
4903,'auId': 1904217091,0,1,0,0
1311,'auId': 1904459132,11,2,5.5,2
1086,'auId': 1904534369,0,1,0,0
4667,'auId': 1904584114,3,1,3,1
4314,'auId': 1904947295,25,2,12.5,2
1663,'auId': 1905855209,19,1,19,1
4354,'auId': 1906838440,19,1,19,1
4183,'auId': 1907357561,154,4,38.5,3
1011,'auId': 190740000,49,7,7,5
2868,'auId': 1907962692,17,1,17,1
1197,'auId': 1908865110,5,2,2.5,2
3424,'auId': 1909225480,11,1,11,1
2039,'auId': 1909445844,6,1,6,1
20,'auId': 1909617687,0,1,0,0
2044,'auId': 1910597427,289,2,144.5,2
2744,'auId': 1912135871,14,1,14,1
122,'auId': 1913332324,323,3,107.67,3
405,'auId': 1913501743,5,1,5,1
4107,'auId': 1915069678,8,1,8,1
2479,'auId': 1915397510,270,2,135,2
3127,'auId': 1915759842,20,2,10,2
3810,'auId': 1915993033,0,1,0,0
625,'auId': 1916555721,187,1,187,1
2334,'auId': 1917828760,85,3,28.33,3
3284,'auId': 1917896816,17,1,17,1
5346,'auId': 1918368897,0,1,0,0
5633,'auId': 1918438217,108,2,54,2
3697,'auId': 1919334810,29,3,9.67,2
1416,'auId': 191979884,9,1,9,1
3147,'auId': 1921173107,30,1,30,1
5334,'auId': 1921484971,9,1,9,1
3996,'auId': 1921729106,16,1,16,1
168,'auId': 1922347857,81,1,81,1
4342,'auId': 1922941836,0,1,0,0
3696,'auId': 1923115076,26,1,26,1
2777,'auId': 1923488504,6,1,6,1
2266,'auId': 1923629209,237,2,118.5,2
2829,'auId': 1923942978,4,1,4,1
1622,'auId': 1923971388,0,1,0,0
3171,'auId': 1924593222,0,1,0,0
1972,'auId': 1925374043,33,1,33,1
5799,'auId': 192682823,40,5,8,3
5056,'auId': 1927067205,20,2,10,2
3577,'auId': 1928016364,14,1,14,1
5601,'auId': 1928096670,51,1,51,1
512,'auId': 192908093,318,1,318,1
2275,'auId': 1929359131,72,1,72,1
629,'auId': 193178368,5,1,5,1
5507,'auId': 1932302583,17,1,17,1
2086,'auId': 1932416883,3,1,3,1
4914,'auId': 1933782737,185,3,61.67,3
4222,'auId': 1934212817,19,1,19,1
749,'auId': 1934331598,2,1,2,1
901,'auId': 1934680889,3,1,3,1
3666,'auId': 1935512918,9,1,9,1
2076,'auId': 193620349,19,2,9.5,2
1512,'auId': 1936817391,402,1,402,1
5199,'auId': 1937503698,480,3,160,3
4470,'auId': 1937789190,0,1,0,0
5167,'auId': 1938251465,159,3,53,2
4954,'auId': 1938259872,1,1,1,1
1319,'auId': 194005705,6,1,6,1
2594,'auId': 1940664792,30,1,30,1
2229,'auId': 1940929460,11,1,11,1
78,'auId': 19414955,80,2,40,2
2922,'auId': 1941968271,51,2,25.5,2
2263,'auId': 1942240941,18,1,18,1
623,'auId': 1944499404,221,3,73.67,3
1320,'auId': 1944944487,20,1,20,1
5110,'auId': 1946051193,205,1,205,1
1843,'auId': 194667847,3,1,3,1
3815,'auId': 1948338481,130,1,130,1
5632,'auId': 1948991158,12,1,12,1
639,'auId': 194923766,4,1,4,1
3221,'auId': 1950184274,13,2,6.5,2
385,'auId': 1950440097,19,1,19,1
5761,'auId': 1950769094,10,1,10,1
3343,'auId': 1951142771,13,1,13,1
4406,'auId': 1955825231,9,1,9,1
859,'auId': 1956086128,87,1,87,1
314,'auId': 195642979,127,1,127,1
4256,'auId': 1959501195,204,2,102,2
3398,'auId': 195975349,19,1,19,1
3859,'auId': 1960353634,276,3,92,3
85,'auId': 1960521979,93,2,46.5,2
5797,'auId': 1961840802,3,1,3,1
5719,'auId': 1962583880,93,2,46.5,2
4322,'auId': 1963053972,79,1,79,1
3467,'auId': 1963538302,2,1,2,1
4098,'auId': 1963576484,3024,7,432,7
1769,'auId': 1963684778,31,2,15.5,2
863,'auId': 1963793301,28,1,28,1
4525,'auId': 1964017511,56,1,56,1
4080,'auId': 1964658237,25,1,25,1
5317,'auId': 1964777801,0,1,0,0
4429,'auId': 1964832335,92,1,92,1
3777,'auId': 1964833067,9,1,9,1
3979,'auId': 1964853290,0,1,0,0
1055,'auId': 1964890520,11,1,11,1
3660,'auId': 1964918158,1,1,1,1
3203,'auId': 1964966895,76,1,76,1
768,'auId': 1964982643,1149,6,191.5,6
1346,'auId': 1965003943,3,1,3,1
4616,'auId': 1965004193,635,4,158.75,3
9,'auId': 1965188977,16,1,16,1
4774,'auId': 1965389844,170,4,42.5,2
1801,'auId': 1965411218,7,1,7,1
5642,'auId': 1965531994,3,1,3,1
1342,'auId': 1966117383,83,5,16.6,4
2336,'auId': 1966251930,5,1,5,1
4125,'auId': 1966271946,525,3,175,2
3505,'auId': 1966546633,60,4,15,4
2879,'auId': 1966564314,18,1,18,1
1890,'auId': 1966731064,2,1,2,1
2182,'auId': 1966777347,513,4,128.25,4
1505,'auId': 1966783760,8,2,4,2
4729,'auId': 1966831408,10,1,10,1
2655,'auId': 1966886469,11,1,11,1
1989,'auId': 1966905718,332,1,332,1
3131,'auId': 1967094502,359,17,21.12,11
2425,'auId': 1967124182,7,1,7,1
3719,'auId': 1967274830,1,1,1,1
2933,'auId': 1967337188,6,1,6,1
5720,'auId': 1967337628,481,1,481,1
3596,'auId': 1967390546,38,2,19,2
1457,'auId': 1967513972,25,4,6.25,2
27,'auId': 1967546095,30,1,30,1
971,'auId': 1967568329,16,1,16,1
2676,'auId': 1967645246,200,2,100,2
1388,'auId': 1967795448,78,2,39,2
1696,'auId': 1967800197,141,1,141,1
3665,'auId': 1967841728,16,1,16,1
5441,'auId': 1967848771,20,1,20,1
4992,'auId': 1967865087,56,1,56,1
1430,'auId': 1967907825,392,3,130.67,3
4938,'auId': 1967999909,10,1,10,1
939,'auId': 1968210000,11,1,11,1
353,'auId': 1968913538,109,1,109,1
1702,'auId': 1968921007,26,1,26,1
2410,'auId': 1969031609,6,1,6,1
4586,'auId': 1969289907,6,1,6,1
307,'auId': 1969487857,507,6,84.5,5
3244,'auId': 1969547113,117,1,117,1
2434,'auId': 1969768610,304,3,101.33,3
134,'auId': 1969782635,7,1,7,1
946,'auId': 1970095529,9,1,9,1
1722,'auId': 1970155374,0,1,0,0
5253,'auId': 1970356085,83,1,83,1
1879,'auId': 1970391018,26,2,13,2
641,'auId': 1970462736,1,1,1,1
938,'auId': 1970912646,62,1,62,1
3862,'auId': 1971266796,34,2,17,2
4998,'auId': 1971456108,4,1,4,1
1758,'auId': 1972024302,3,1,3,1
2105,'auId': 1972038216,4,1,4,1
576,'auId': 1972076535,33,10,3.3,4
1128,'auId': 1972133288,0,1,0,0
3015,'auId': 1972188706,5,1,5,1
236,'auId': 1972286444,108,2,54,2
3610,'auId': 1972291593,4259,35,121.69,22
1024,'auId': 1972492785,6,1,6,1
75,'auId': 1972556819,134,5,26.8,4
995,'auId': 1972696148,12,1,12,1
5377,'auId': 1972696923,52,3,17.33,3
861,'auId': 1973162899,16,1,16,1
3912,'auId': 1973220071,344,4,86,4
5643,'auId': 1973247951,7,1,7,1
1413,'auId': 1973263502,346,4,86.5,4
2580,'auId': 1973314746,61,2,30.5,2
4797,'auId': 1973651962,9,1,9,1
4384,'auId': 1973664376,100,1,100,1
4803,'auId': 1973677370,7,1,7,1
646,'auId': 1973757127,1,1,1,1
4204,'auId': 1973965668,256,2,128,2
4389,'auId': 1974025617,94,2,47,2
3217,'auId': 1974287210,163,1,163,1
5380,'auId': 1974346568,5,1,5,1
5036,'auId': 1974450165,19,2,9.5,2
4686,'auId': 1974558258,45,4,11.25,3
2653,'auId': 1974741261,16,1,16,1
4391,'auId': 1974776862,270,1,270,1
544,'auId': 1974974032,152,7,21.71,5
2000,'auId': 1975162656,10,1,10,1
2332,'auId': 1975330536,2029,2,1014.5,2
3896,'auId': 1975341597,21,2,10.5,2
4069,'auId': 1975391532,5,2,2.5,2
4636,'auId': 1975490744,445,1,445,1
3901,'auId': 1975621190,3,1,3,1
4174,'auId': 1975712082,13,2,6.5,2
5280,'auId': 1976038489,30,1,30,1
1080,'auId': 1976068697,3,1,3,1
2665,'auId': 1976138005,21,1,21,1
956,'auId': 1976226184,68,3,22.67,3
869,'auId': 1976350085,351,2,175.5,1
1200,'auId': 1976391544,150,1,150,1
493,'auId': 1976567932,10,1,10,1
2345,'auId': 1976640904,2542,18,141.22,13
4810,'auId': 1976731470,13,1,13,1
1962,'auId': 1976939201,2,1,2,1
4735,'auId': 1976950599,2219,6,369.83,6
4647,'auId': 1977073778,14,1,14,1
1704,'auId': 1977177148,129,4,32.25,3
611,'auId': 1977227655,7,1,7,1
3122,'auId': 1977349315,13,1,13,1
67,'auId': 1977456590,122,2,61,2
802,'auId': 1977505942,66,1,66,1
5781,'auId': 1977535315,102,1,102,1
4709,'auId': 1977545020,682,1,682,1
5667,'auId': 1977649925,381,12,31.75,9
2589,'auId': 1977733842,40,5,8,4
5788,'auId': 1977819825,17,4,4.25,2
5115,'auId': 1977822888,5,1,5,1
1394,'auId': 1977909497,18,1,18,1
17,'auId': 1977929464,3,1,3,1
2142,'auId': 1977948038,110,3,36.67,3
355,'auId': 1978082223,295,2,147.5,2
3205,'auId': 1978105320,196,2,98,2
1985,'auId': 1978131604,5,1,5,1
4925,'auId': 1978227857,23,1,23,1
715,'auId': 1978401862,162,1,162,1
753,'auId': 1978515735,533,1,533,1
486,'auId': 1978548049,53,1,53,1
672,'auId': 1978558100,254,1,254,1
691,'auId': 1978581454,5,1,5,1
408,'auId': 1978592455,20,2,10,2
759,'auId': 1978915323,88,2,44,2
3145,'auId': 1978978852,5,1,5,1
5594,'auId': 1979048761,5,1,5,1
1814,'auId': 1979212278,30,2,15,2
2999,'auId': 1979429815,311,2,155.5,2
676,'auId': 1979530987,3,1,3,1
255,'auId': 1979550984,96,1,96,1
4663,'auId': 1979713447,1435,12,119.58,10
1730,'auId': 1979722320,9,3,3,2
2724,'auId': 1979728579,210,1,210,1
1508,'auId': 1979730653,8,1,8,1
